timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098107107683328,-0.428709,10.896238,0.526602
1703098107115841792,-0.470133,10.965276,0.527794
1703098107124329984,-0.497503,10.938245,0.528624
1703098107132469504,-0.481929,10.917600,0.527079
1703098107140997888,-0.510056,10.913063,0.527783
1703098107149138944,-0.471170,10.922948,0.528494
1703098107157584128,-0.492097,10.906222,0.525889
1703098107165804032,-0.490556,10.853158,0.527430
1703098107174240512,-0.492580,10.865715,0.528556
1703098107182465536,-0.512125,10.874614,0.528600
1703098107190882560,-0.519660,10.836685,0.525718
1703098107199224064,-0.529950,10.875283,0.527864
1703098107207583232,-0.560855,10.895477,0.526842
1703098107216012800,-0.548724,10.877635,0.527983
1703098107224171008,-0.977371,10.846533,0.529133
1703098107232602880,-1.060845,10.804860,0.526641
1703098107240884224,-1.014647,10.785753,0.526901
1703098107249325568,-0.982574,10.838407,0.525331
1703098107265984512,-0.841004,10.797834,0.525859
1703098107282747392,-0.750901,10.840246,0.526793
1703098107290890752,-0.693340,10.823795,0.527448
1703098107299394816,-0.559802,10.805506,0.526798
1703098107307476480,-0.524466,10.838241,0.527234
1703098107315975680,-0.487588,10.716900,0.527494
1703098107324160512,-0.448835,10.823150,0.526926
1703098107332622080,-0.393667,10.808895,0.529344
1703098107340792832,-0.376805,10.845334,0.529197
1703098107349256192,-0.284886,10.806758,0.527110
1703098107357514240,-0.241062,10.774400,0.526608
1703098107365896704,-0.176475,10.803054,0.525793
1703098107374146560,-0.145541,10.796758,0.525494
1703098107382626816,-0.115212,10.763687,0.527282
1703098107390860288,-0.083706,10.773528,0.524930
1703098107399257600,-0.019129,10.785970,0.525561
1703098107407599872,-0.007846,10.801183,0.525039
1703098107415877632,0.062378,10.775681,0.523941
1703098107424281856,0.084913,10.717649,0.525565
1703098107432564224,0.195108,10.732267,0.524536
1703098107441151488,0.152747,10.809691,0.525052
1703098107457682176,0.240826,10.759993,0.525913
